Name,Symbol
Bharti Airtel,BHARTIARTL.NS
Pressman Advertising,PRESSMN.NS
ABG Shipyard,ABGSHIP.NS
Bharat Electronics,BEL.NS
Bharati Defence,BHARATIDIL.NS
Reliance Defence,RDEL.NS
The Fertilisers,FACT.NS
Gujarat Narmada,GNFC.NS
Zuari Global,ZUARIGLOB.NS
Zuari Agro,ZUARI.NS
Aries Agro,ARIES.NS
Proseed India,GREENFIRE.NS
Agri-Tech (India),AGRITECH.NS
Dhanuka Agritech,DHANUKA.NS
Rashtriya Chemicals,RCF.NS
Deepak Fertilisers,DEEPAKFERT.NS
Bharat Rasayan,BHARATRAS.NS
Nath Bio-Genes,NATHBIOGEN.NS
Excel Crop,EXCELCROP.NS
Sharda Cropchem,SHARDACROP.NS
Bayer CropScience,BAYERCROP.NS
Gujarat State,GSFC.NS
Chambal Fertilisers,CHAMBLFERT.NS
National Fertilizers,NFL.NS
Madras Fertilizers,MADRASFERT.NS
Coromandel International,COROMANDEL.NS
UPL Limited,UPL.NS
Monsanto India,MONSANTO.NS
Meghmani Organics,MEGH.NS
Southern Petrochemical,SPIC.NS
PI Industries,PIIND.NS
Rallis India,RALLIS.NS
Mangalore Chemicals,MANGCHEFER.NS
Insecticides (India),INSECTICID.NS
Container Corporation,CONCOR.NS
Transport Corporation,TCI.NS
Allcargo Logistics,ALLCARGO.NS
Arshiya Limited,ARSHIYA.NS
Blue Dart,BLUEDART.NS
Gateway Distriparks,GDL.NS
Gati Limited,GATI.NS
Sical Logistics,SICAL.NS
Patel Integrated,PATINTLOG.NS
Snowman Logistics,SNOWMAN.NS
Navkar Corporation,NAVKARCORP.NS
Global Vectra,GLOBALVECT.NS
GVK Power,GVKPIL.NS
National Aluminium,NATIONALUM.NS
Maan Aluminium,MAANALU.NS
Century Extrusions,CENTEXT.NS
Hindalco Industries,HINDALCO.NS
Trent Limited,TRENT.NS
Future Lifestyle,FLFL.NS
Jindal Poly,JPOLYINVST.NS
JSW Holdings,JSWHL.NS
Multi Commodity,MCX.NS
Williamson Magor,WILLAMAGOR.NS
ATN International,ATNINTER.NS
BF Investment,BFINVEST.NS
Oswal Greentech,BINDALAGRO.NS
Crest Ventures,CREST.NS
Nahar Capital,NAHARCAP.NS
Motilal Oswal,MOTILALOFS.NS
PNB Gilts,PNBGILTS.NS
Times Guaranty,TIMESGTY.NS
Bajaj Holdings,BAJAJHLDNG.NS
IL&FS Investment,IVC.NS
Kalyani Investment,KICL.NS
Kirloskar Industries,KIRLOSIND.NS
Lakshmi Finance,LFIC.NS
Nalwa Sons,NSIL.NS
Pilani Investment,PILANIINVS.NS
SIL Investments,SILINV.NS
Indbank Merchant,INDBANK.NS
Reliance Capital,RELCAPITAL.NS
Ashok Leyland,ASHOKLEY.NS
Maruti Suzuki,MARUTI.NS
Tata Motors,TATAMOTORS.NS
Atul Auto,ATULAUTO.NS
Bajaj Auto,BAJAJ-AUTO.NS
Eicher Motors,EICHERMOT.NS
Hero MotoCorp,HEROMOTOCO.NS
Hindustan Motors,HINDMOTORS.NS
SML Isuzu,SMLISUZU.NS
LML Limited,LML.NS
TVS Motor,TVSMOTOR.NS
Tata Motors,TATAMTRDVR.NS
Mahindra &,M&M.NS
Bosch Limited,BOSCHLTD.NS
Swaraj Engines,SWARAJENG.NS
Jamna Auto,JAMNAAUTO.NS
Jullundur Motor,JMA.NS
Subros ,SUBROS.NS
Omax Autos,OMAXAUTO.NS
Wabco India,WABCOINDIA.NS
Steel Strips,SSWL.NS
India Motor,IMPAL.NS
Amtek Auto,AMTEKAUTO.NS
ANG Industries,ANGIND.NS
Automotive Stampings,ASAL.NS
Asahi India,ASAHIINDIA.NS
Munjal Auto,MUNJALAU.NS
Autolite (India),AUTOLITIND.NS
PPAP Automotive,PPAP.NS
Lumax Auto,LUMAXTECH.NS
Automotive Axles,AUTOAXLES.NS
NRB Bearings,NRBBEARING.NS
Menon Bearings,MENONBE.NS
Bharat Forge,BHARATFORG.NS
Bharat Gears,BHARATGEAR.NS
Jay Bharat,JAYBARMARU.NS
Sundaram Brake,SUNDRMBRAK.NS
Rane Brake,RBL.NS
Dynamatic Technologies,DYNAMATECH.NS
India Nippon,INDNIPPON.NS
Exide Industries,EXIDEIND.NS
Sundram Fasteners,SUNDRMFAST.NS
Federal-Mogul Goetze,FMGOETZE.NS
Hinduja Foundries,HINDUJAFO.NS
Kalyani Forge,KALYANIFRG.NS
Ucal Fuel,UCALFUEL.NS
Gabriel India,GABRIEL.NS
The Hi-Tech,HITECHGEAR.NS
Harita Seating,HARITASEAT.NS
Hindustan Composites,HINDCOMPOS.NS
Igarashi Motors,IGARASHI.NS
JBM Auto,JBMA.NS
JMT Auto,JMTAUTOLTD.NS
Sona Koyo,SONASTEER.NS
L.G. Balakrishnan,LGBBROSLTD.NS
Motherson Sumi,MOTHERSUMI.NS
TI Financial,TUBEINVEST.NS
Banco Products,BANCOINDIA.NS
Castex Technologies,CASTEXTECH.NS
Lumax Automotive,LUMAXAUTO.NS
Lumax Industries,LUMAXIND.NS
Minda Corporation,MINDACORP.NS
Munjal Showa,MUNJALSHOW.NS
Rane Engine,RANEENGINE.NS
Rane Holdings,RANEHOLDIN.NS
Rane (Madras),RML.NS
Rico Auto,RICOAUTO.NS
Maharashtra Scooters,MAHSCOOTER.NS
Shivam Autotech,SHIVAMAUTO.NS
Sundaram-Clayton Limited,SUNCLAYLTD.NS
Suprajit Engineering,SUPRAJIT.NS
Talbros Automotive,TALBROAUTO.NS
Wheels India,WHEELS.NS
Autoline Industries,AUTOIND.NS
Precision Camshafts,PRECAM.NS
Fiem Industries,FIEMIND.NS
Remsons Industries,REMSONSIND.NS
Som Distilleries,SDBL.NS
United Breweries,UBL.NS
Empee Distilleries,EDL.NS
United Breweries,UBHOLDINGS.NS
The United,UNITEDTEA.NS
Manpasand Beverages,MANPASAND.NS
IFB Agro,IFBAGRO.NS
Ravi Kumar,RKDL.NS
Pioneer Distilleries,PIONDIST.NS
Globus Spirits,GLOBUSSPR.NS
G.M.Breweries Limited,GMBREW.NS
Tilaknagar Industries,TI.NS
Celestial Biolabs,CELESTIAL.NS
Sterling Biotech,STERLINBIO.NS
Panacea Biotec,PANACEABIO.NS
Dishman Pharmaceuticals,DISHMAN.NS
Lyka Labs,LYKALABS.NS
Sequent Scientific,SEQUENT.NS
Entertainment Network,ENIL.NS
TV18 Broadcast,TV18BRDCST.NS
Sri Adhikari,SABTN.NS
Zee Entertainment,ZEEL.NS
Zee Media,ZEEMEDIA.NS
Jain Studios,JAINSTUDIO.NS
New Delhi,NDTV.NS
Sun TV,SUNTV.NS
Raj Television,RAJTV.NS
Network18 Media,NETWORK18.NS
T.V. Today,TVTODAY.NS
DEN Networks,DEN.NS
Todays Writing,TODAYS.NS
Kokuyo Camlin,KOKUYOCMLN.NS
Kesar Terminals,KTIL.NS
Allsec Technologies,ALLSEC.NS
Alankit Limited,ALANKIT.NS
CURA Technologies,CURATECH.NS
Datamatics Global,DATAMATICS.NS
eClerx Services,ECLERX.NS
Firstsource Solutions,FSL.NS
GKW Limited,GKWLIMITED.NS
Hexa Tradex,HEXATRADEX.NS
Nesco Limited,NESCO.NS
Repro India,REPRO.NS
Oracle Financial,OFSS.NS
AGC Networks,AGCNET.NS
Kellton Tech,KELLTONTEC.NS
Melstar Information,MELSTAR.NS
Persistent Systems,PERSISTENT.NS
Polaris Consulting,POLARIS.NS
aurionPro Solutions,AURIONPRO.NS
Hinduja Ventures,HINDUJAVEN.NS
Hathway Cable,HATHWAY.NS
Dish TV,DISHTV.NS
Ortel Communications,ORTEL.NS
NOCIL Limited,NOCIL.NS
Tata Chemicals,TATACHEM.NS
Gujarat Alkalies,GUJALKALI.NS
The Andhra,ANDHRSUGAR.NS
Astec LifeSciences,ASTEC.NS
Asahi Songwon,ASAHISONG.NS
Atul Ltd,ATUL.NS
BASF India,BASF.NS
Bhansali Engineering,BEPL.NS
Phillips Carbon,PHILIPCARB.NS
Punjab Chemicals,PUNJABCHEM.NS
DCW Limited,DCW.NS
DIC India,DICIND.NS
Shree Pushkar,SHREEPUSHK.NS
Gujarat Fluorochemicals,GUJFLUORO.NS
Navin Fluorine,NAVINFLUOR.NS
Foseco India,FOSECOIND.NS
GHCL Limited,GHCL.NS
India Glycols,INDIAGLYCO.NS
Gulshan Polyols,GULPOLY.NS
Hikal Limited,HIKAL.NS
Hindustan Organic,HOCL.NS
Jocil Limited,JOCIL.NS
Kanoria Chemicals,KANORICHEM.NS
Kothari Petrochemicals,KOTHARIPET.NS
Vinati Organics,VINATIORGA.NS
Shalimar Paints,SHALPAINTS.NS
Supreme Petrochem,SUPPETRO.NS
Tamilnadu Petroproducts,TNPETRO.NS
Manali Petrochemicals,MANALIPETC.NS
Sree Rayalaseema,SRHHYPOLTD.NS
Rain Industries,RAIN.NS
Refex Industries,REFEX.NS
Nelco Limited,NELCO.NS
Aksh Optifibre,AKSHOPTFBR.NS
Astra Microwave,ASTRAMICRO.NS
D-Link (India),DLINKINDIA.NS
Himachal Futuristic,HFCL.NS
Gemini Communication,GEMINI.NS
GTL Infrastructure,GTLINFRA.NS
ITI Limited,ITI.NS
Kavveri Telecom,KAVVERITEL.NS
Spice Mobility,SPICEMOBI.NS
MRO-TEK Realty,MRO-TEK.NS
Smartlink Network,SMARTLINK.NS
Paramount Communications,PARACABLES.NS
Shyam Telecom,SHYAMTEL.NS
Sterlite Technologies,STRTECH.NS
Tamilnadu Telecommunications,TNTELE.NS
Vindhya Telelinks,VINDHYATEL.NS
Cerebra Integrated,CEREBRAINT.NS
TVS Electronics,TVSELECT.NS
HCL Infosystems,HCL-INSYS.NS
Kothari Sugars,KOTARISUG.NS
K.C.P. Sugar,KCPSUGIND.NS
The Oudh,OUDHSUG.NS
The Ugar,UGARSUGAR.NS
Bannari Amman,BANARISUG.NS
Dalmia Bharat,DALMIASUG.NS
Thiru Arooran,THIRUSUGAR.NS
Rajshree Sugars,RAJSREESUG.NS
Dwarikesh Sugar,DWARKESH.NS
SKM Egg,SKMEGGPROD.NS
E.I.D.-Parry (India),EIDPARRY.NS
Upper Ganges,UPERGANGES.NS
Bajaj Hindusthan,BAJAJHIND.NS
Khaitan (India),KHAITANLTD.NS
K M,KMSUGAR.NS
Sakthi Sugars,SAKHTISUG.NS
Ponni Sugars,PONNIERODE.NS
Rana Sugars,RANASUG.NS
Shree Renuka,RENUKA.NS
Simbhaoli Sugars,SIMBHALS.NS
Mawana Sugars,MAWANASUG.NS
Parrys Sugar,PARRYSUGAR.NS
Triveni Engineering,TRIVENI.NS
Balrampur Chini,BALRAMCHIN.NS
Welspun Enterprises,WELENT.NS
Aditya Birla,ABIRLANUVO.NS
Alchemist Limited,ALCHEM.NS
Balmer Lawrie,BALMLAWRIE.NS
DCM Shriram,DCMSHRIRAM.NS
S H,SHK.NS
Hotel Rugby,HOTELRUGBY.NS
3M India,3MINDIA.NS
Manaksia Limited,MANAKSIA.NS
Cubex Tubings,CUBEXTUB.NS
Hindustan Copper,HINDCOPPER.NS
Precision Wires,PRECWIRE.NS
Rural Electrification,RECLTD.NS
Power Finance,PFC.NS
Muthoot Finance,MUTHOOTFIN.NS
Magma Fincorp,MAGMA.NS
Vardhman Holdings,VHL.NS
Cholamandalam Investment,CHOLAFIN.NS
Bajaj Finance,BAJFINANCE.NS
Capri Global,CGCL.NS
Shriram City,SHRIRAMCIT.NS
Satin Creditcare,SATIN.NS
Shriram Transport,SRTRANSFIN.NS
Sundaram Finance,SUNDARMFIN.NS
Gujarat Lease,GLFL.NS
TCI Finance,TCIFINANCE.NS
IDFC Limited,IDFC.NS
IFCI Limited,IFCI.NS
Industrial Investment,IITL.NS
Mahindra &,M&MFIN.NS
Tourism Finance,TFCILTD.NS
Capital First,CAPF.NS
L&T Finance,L&TFH.NS
Manappuram Finance,MANAPPURAM.NS
S.E. Investments,SEINV.NS
Euro Multivision,EUROMULTI.NS
Moser Baer,MOSERBAER.NS
V-Mart Retail,VMART.NS
Shoppers Stop,SHOPERSTOP.NS
V2 Retail,V2RETAIL.NS
Hind Rectifiers,HIRECT.NS
Veto Switchgears,VETO.NS
Apar Industries,APARINDS.NS
Bhagyanagar India,BHAGYNAGAR.NS
Centum Electronics,CENTUM.NS
MIC Electronics,MIC.NS
Eveready Industries,EVEREADY.NS
Genus Power,GENUSPOWER.NS
HBL Power,HBLPOWER.NS
HEG Limited,HEG.NS
KEI Industries,KEI.NS
Indo National,NIPPOBATRY.NS
De Nora,DENORA.NS
Finolex Cables,FINCABLES.NS
Cords Cable,CORDSCABLE.NS
Samtel Color,SAMTEL.NS
Indo Tech,INDOTECH.NS
Schneider Electric,SCHNEIDER.NS
Kirloskar Oil,KIRLOSENG.NS
Everest Kanto,EKC.NS
Nicco Corporation,NICCO.NS
SKF India,SKFINDIA.NS
Siemens Limited,SIEMENS.NS
Texmaco Rail,TEXRAIL.NS
Voltamp Transformers,VOLTAMP.NS
Vesuvius India,VESUVIUS.NS
ABB India,ABB.NS
Ador Welding,ADORWELD.NS
AIA Engineering,AIAENG.NS
Amara Raja,AMARAJABAT.NS
Sanghvi Forging,SANGHVIFOR.NS
Bharat Bijlee,BBL.NS
BEML Limited,BEML.NS
Bharat Heavy,BHEL.NS
Bilpower Limited,BILPOWER.NS
Kirloskar Brothers,KIRLOSBROS.NS
Cummins India,CUMMINSIND.NS
Diamond Power,DIAPOWER.NS
Easun Reyrolle,EASUNREYRL.NS
ECE Industries,ECEIND.NS
Eimco Elecon,EIMCOELECO.NS
ELGI Equipments,ELGIEQUIP.NS
Eon Electric,EON.NS
Kirloskar Electric,KECL.NS
Elecon Engineering,ELECON.NS
EMCO Limited,EMCO.NS
Kabra Extrusiontechnik,KABRAEXTRU.NS
GEI Industrial,GEINDSYS.NS
Shanthi Gears,SHANTIGEAR.NS
Goldstone Infratech,GOLDINFRA.NS
Greaves Cotton,GREAVESCOT.NS
Havells India,HAVELLS.NS
Hercules Hoists,HERCULES.NS
IFB Industries,IFBIND.NS
IMP Powers,INDLMETER.NS
The KCP,KCP.NS
KSB Pumps,KSBPUMPS.NS
Lakshmi Machine,LAXMIMACH.NS
Lokesh Machines,LOKESHMACH.NS
TRF Limited,TRF.NS
Thermax Limited,THERMAX.NS
NEPC India,NEPCMICON.NS
Honda Siel,HONDAPOWER.NS
TD Power,TDPOWERSYS.NS
Premier Limited,PREMIER.NS
Shakti Pumps,SHAKTIPUMP.NS
Ingersoll-Rand (India),INGERRAND.NS
Suzlon Energy,SUZLON.NS
Tarapur Transformers,TARAPUR.NS
TIL Limited,TIL.NS
Timken India,TIMKEN.NS
Transformers &,TRIL.NS
Triveni Turbine,TRITURBINE.NS
Inox Wind,INOXWIND.NS
Windsor Machines,WINDMACHIN.NS
Honeywell Automation,HONAUT.NS
Delta Magnets,DELTAMAGNT.NS
Graphite India,GRAPHITE.NS
Manugraph India,MANUGRAPH.NS
PAE Limited,PAEL.NS
Jaiprakash Power,JPPOWER.NS
JSW Energy,JSWENERGY.NS
KEC International,KEC.NS
NTPC Limited,NTPC.NS
Websol Energy,WEBELSOLAR.NS
XL Energy,XLENERGY.NS
Adani Power,ADANIPOWER.NS
Surana Telecom,SURANAT&P.NS
CESC Limited,CESC.NS
Lanco Infratech,LITL.NS
Surana Solar,SURANASOL.NS
Reliance Power,RPOWER.NS
The Tata,TATAPOWER.NS
PTC India,PTC.NS
RattanIndia Infrastructure,RTNINFRA.NS
Swelect Energy,SWELECTES.NS
Ujaas Energy,UJAAS.NS
Indosolar Limited,INDOSOLAR.NS
Piramal Enterprises,PEL.NS
Jubilant Life,JUBILANT.NS
Kopran Limited,KOPRAN.NS
Wanbury Limited,WANBURY.NS
Wockhardt Limited,WOCKPHARMA.NS
Aarti Drugs,AARTIDRUGS.NS
Abbott India,ABBOTINDIA.NS
Ajanta Pharma,AJANTPHARM.NS
